23:01:48 : Running on GPU 
23:01:48 : Model is CNN_256xFC_512_Channel_Contour_b32e50L0.0001 
23:01:48 : Saved Model Path is ./Results/Exp7_1_Feature_Out/CNN_256xFC_512_Channel_Contour/CNN_256xFC_512_Channel_Contour_b32e50L0.0001.pth 
23:01:48 : No saved model found. Training a new model. 
23:02:04 : Epoch [1/50], Loss: 0.5333, Accuracy: 0.8055, Precision: 1.0000, Recall: 0.6110, Specificity: 1.0000, F1-Score: 0.7585 
23:02:19 : Epoch [2/50], Loss: 0.3860, Accuracy: 0.9439, Precision: 0.9830, Recall: 0.9034, Specificity: 0.9843, F1-Score: 0.9415 
23:02:33 : Epoch [3/50], Loss: 0.3245, Accuracy: 0.6227, Precision: 0.5699, Recall: 1.0000, Specificity: 0.2454, F1-Score: 0.7261 
23:02:48 : Epoch [4/50], Loss: 0.3389, Accuracy: 0.8799, Precision: 0.8063, Recall: 1.0000, Specificity: 0.7598, F1-Score: 0.8928 
23:03:03 : Epoch [5/50], Loss: 0.3438, Accuracy: 0.6240, Precision: 1.0000, Recall: 0.2480, Specificity: 1.0000, F1-Score: 0.3975 
23:03:17 : Epoch [6/50], Loss: 0.3198, Accuracy: 0.9608, Precision: 0.9783, Recall: 0.9426, Specificity: 0.9791, F1-Score: 0.9601 
23:03:32 : Epoch [7/50], Loss: 0.3337, Accuracy: 0.8473, Precision: 0.9819, Recall: 0.7076, Specificity: 0.9869, F1-Score: 0.8225 
23:03:47 : Epoch [8/50], Loss: 0.3187, Accuracy: 0.9243, Precision: 0.9909, Recall: 0.8564, Specificity: 0.9922, F1-Score: 0.9188 
23:04:01 : Epoch [9/50], Loss: 0.3165, Accuracy: 0.6462, Precision: 0.5856, Recall: 1.0000, Specificity: 0.2924, F1-Score: 0.7387 
23:04:16 : Epoch [10/50], Loss: 0.3283, Accuracy: 0.6815, Precision: 0.6108, Recall: 1.0000, Specificity: 0.3629, F1-Score: 0.7584 
23:04:30 : Epoch [11/50], Loss: 0.3161, Accuracy: 0.9726, Precision: 0.9594, Recall: 0.9869, Specificity: 0.9582, F1-Score: 0.9730 
23:05:01 : Epoch [12/50], Loss: 0.3143, Accuracy: 0.5836, Precision: 0.5456, Recall: 1.0000, Specificity: 0.1671, F1-Score: 0.7060 
23:05:16 : Epoch [13/50], Loss: 0.3137, Accuracy: 0.9452, Precision: 0.9069, Recall: 0.9922, Specificity: 0.8982, F1-Score: 0.9476 
23:05:31 : Epoch [14/50], Loss: 0.3143, Accuracy: 0.9230, Precision: 0.8665, Recall: 1.0000, Specificity: 0.8460, F1-Score: 0.9285 
23:05:45 : Epoch [15/50], Loss: 0.3251, Accuracy: 0.6997, Precision: 1.0000, Recall: 0.3995, Specificity: 1.0000, F1-Score: 0.5709 
23:06:00 : Epoch [16/50], Loss: 0.3134, Accuracy: 0.9217, Precision: 0.9909, Recall: 0.8512, Specificity: 0.9922, F1-Score: 0.9157 
23:06:15 : Epoch [17/50], Loss: 0.3208, Accuracy: 0.9178, Precision: 0.9908, Recall: 0.8433, Specificity: 0.9922, F1-Score: 0.9111 
23:06:29 : Epoch [18/50], Loss: 0.3136, Accuracy: 0.9778, Precision: 0.9766, Recall: 0.9791, Specificity: 0.9765, F1-Score: 0.9778 
23:06:44 : Epoch [19/50], Loss: 0.3159, Accuracy: 0.5953, Precision: 1.0000, Recall: 0.1906, Specificity: 1.0000, F1-Score: 0.3202 
23:06:59 : Epoch [20/50], Loss: 0.3138, Accuracy: 0.9674, Precision: 0.9686, Recall: 0.9661, Specificity: 0.9687, F1-Score: 0.9673 
23:07:13 : Epoch [21/50], Loss: 0.3373, Accuracy: 0.9726, Precision: 0.9641, Recall: 0.9817, Specificity: 0.9634, F1-Score: 0.9728 
23:07:28 : Epoch [22/50], Loss: 0.3134, Accuracy: 0.9674, Precision: 0.9497, Recall: 0.9869, Specificity: 0.9478, F1-Score: 0.9680 
23:07:42 : Epoch [23/50], Loss: 0.3134, Accuracy: 0.9112, Precision: 0.8492, Recall: 1.0000, Specificity: 0.8225, F1-Score: 0.9185 
