22:00:47 : Running on GPU 
22:00:47 : Model is CNN_256xFC_512_Spatial_Contour_b32e50L0.0001 
22:00:47 : No saved model found. Training a new model. 
22:01:03 : Epoch [1/50], Loss: 0.4965, Accuracy: 0.9269, Precision: 0.8811, Recall: 0.9869, Specificity: 0.8668, F1-Score: 0.9310 
22:01:18 : Epoch [2/50], Loss: 0.3666, Accuracy: 0.5379, Precision: 0.5197, Recall: 1.0000, Specificity: 0.0757, F1-Score: 0.6839 
22:01:32 : Epoch [3/50], Loss: 0.3345, Accuracy: 0.9569, Precision: 0.9397, Recall: 0.9765, Specificity: 0.9373, F1-Score: 0.9577 
22:01:47 : Epoch [4/50], Loss: 0.3514, Accuracy: 0.6292, Precision: 1.0000, Recall: 0.2585, Specificity: 1.0000, F1-Score: 0.4108 
22:02:01 : Epoch [5/50], Loss: 0.3256, Accuracy: 0.8446, Precision: 0.9962, Recall: 0.6919, Specificity: 0.9974, F1-Score: 0.8166 
22:02:16 : Epoch [6/50], Loss: 0.3442, Accuracy: 0.9674, Precision: 0.9812, Recall: 0.9530, Specificity: 0.9817, F1-Score: 0.9669 
22:02:30 : Epoch [7/50], Loss: 0.3876, Accuracy: 0.5000, Precision: 0.5000, Recall: 1.0000, Specificity: 0.0000, F1-Score: 0.6667 
22:02:45 : Epoch [8/50], Loss: 0.3145, Accuracy: 0.9739, Precision: 0.9618, Recall: 0.9869, Specificity: 0.9608, F1-Score: 0.9742 
22:02:59 : Epoch [9/50], Loss: 0.3181, Accuracy: 0.7702, Precision: 0.6852, Recall: 1.0000, Specificity: 0.5405, F1-Score: 0.8132 
22:03:14 : Epoch [10/50], Loss: 0.3380, Accuracy: 0.5000, Precision: 0.5000, Recall: 1.0000, Specificity: 0.0000, F1-Score: 0.6667 
22:03:29 : Epoch [11/50], Loss: 0.3194, Accuracy: 0.9595, Precision: 0.9809, Recall: 0.9373, Specificity: 0.9817, F1-Score: 0.9586 
22:03:43 : Epoch [12/50], Loss: 0.3136, Accuracy: 0.9373, Precision: 0.8904, Recall: 0.9974, Specificity: 0.8773, F1-Score: 0.9409 
22:03:58 : Epoch [13/50], Loss: 0.3174, Accuracy: 0.9621, Precision: 0.9562, Recall: 0.9687, Specificity: 0.9556, F1-Score: 0.9624 
22:04:12 : Epoch [14/50], Loss: 0.3140, Accuracy: 0.7990, Precision: 1.0000, Recall: 0.5979, Specificity: 1.0000, F1-Score: 0.7484 
22:04:27 : Epoch [15/50], Loss: 0.3138, Accuracy: 0.5000, Precision: 0.5000, Recall: 1.0000, Specificity: 0.0000, F1-Score: 0.6667 
22:04:42 : Epoch [16/50], Loss: 0.3136, Accuracy: 0.9543, Precision: 0.9833, Recall: 0.9243, Specificity: 0.9843, F1-Score: 0.9529 
22:04:56 : Epoch [17/50], Loss: 0.3241, Accuracy: 0.9138, Precision: 0.8546, Recall: 0.9974, Specificity: 0.8303, F1-Score: 0.9205 
22:05:11 : Epoch [18/50], Loss: 0.3134, Accuracy: 0.8473, Precision: 1.0000, Recall: 0.6945, Specificity: 1.0000, F1-Score: 0.8197 
