19:14:28 : Running on GPU 
19:14:28 : Model is CNN_Orig_LateFusion_b32e100L0.0001 
19:14:28 : No saved model found. Training a new model. 
19:14:44 : Epoch [1/100], Loss: 0.5952, Accuracy: 0.8211, Precision: 0.7365, Recall: 1.0000, Specificity: 0.6423, F1-Score: 0.8483 
19:14:58 : Epoch [2/100], Loss: 0.4230, Accuracy: 0.5209, Precision: 0.5107, Recall: 1.0000, Specificity: 0.0418, F1-Score: 0.6761 
19:15:13 : Epoch [3/100], Loss: 0.3601, Accuracy: 0.9517, Precision: 0.9626, Recall: 0.9399, Specificity: 0.9634, F1-Score: 0.9511 
19:15:28 : Epoch [4/100], Loss: 0.3801, Accuracy: 0.5209, Precision: 1.0000, Recall: 0.0418, Specificity: 1.0000, F1-Score: 0.0802 
19:15:42 : Epoch [5/100], Loss: 0.3901, Accuracy: 0.8760, Precision: 1.0000, Recall: 0.7520, Specificity: 1.0000, F1-Score: 0.8584 
19:15:57 : Epoch [6/100], Loss: 0.3282, Accuracy: 0.5901, Precision: 0.5495, Recall: 1.0000, Specificity: 0.1802, F1-Score: 0.7093 
19:16:11 : Epoch [7/100], Loss: 0.3185, Accuracy: 0.9582, Precision: 0.9312, Recall: 0.9896, Specificity: 0.9269, F1-Score: 0.9595 
19:16:26 : Epoch [8/100], Loss: 0.3183, Accuracy: 0.5000, Precision: 0.0000, Recall: 0.0000, Specificity: 1.0000, F1-Score: 0.0000 
19:16:40 : Epoch [9/100], Loss: 0.3500, Accuracy: 0.9687, Precision: 0.9567, Recall: 0.9817, Specificity: 0.9556, F1-Score: 0.9691 
19:16:55 : Epoch [10/100], Loss: 0.3180, Accuracy: 0.8760, Precision: 0.8013, Recall: 1.0000, Specificity: 0.7520, F1-Score: 0.8897 
19:17:09 : Epoch [11/100], Loss: 0.3297, Accuracy: 0.8747, Precision: 0.9931, Recall: 0.7546, Specificity: 0.9948, F1-Score: 0.8576 
19:17:24 : Epoch [12/100], Loss: 0.3155, Accuracy: 0.8590, Precision: 0.9928, Recall: 0.7232, Specificity: 0.9948, F1-Score: 0.8369 
19:17:38 : Epoch [13/100], Loss: 0.3190, Accuracy: 0.8525, Precision: 0.7722, Recall: 1.0000, Specificity: 0.7050, F1-Score: 0.8714 
19:17:53 : Epoch [14/100], Loss: 0.3528, Accuracy: 0.9347, Precision: 0.8918, Recall: 0.9896, Specificity: 0.8799, F1-Score: 0.9381 
19:18:08 : Epoch [15/100], Loss: 0.3139, Accuracy: 0.9634, Precision: 0.9890, Recall: 0.9373, Specificity: 0.9896, F1-Score: 0.9625 
19:18:22 : Epoch [16/100], Loss: 0.3570, Accuracy: 0.7950, Precision: 0.7093, Recall: 1.0000, Specificity: 0.5901, F1-Score: 0.8299 
19:18:37 : Epoch [17/100], Loss: 0.3531, Accuracy: 0.7950, Precision: 0.7093, Recall: 1.0000, Specificity: 0.5901, F1-Score: 0.8299 
19:18:52 : Epoch [18/100], Loss: 0.3465, Accuracy: 0.9164, Precision: 0.8568, Recall: 1.0000, Specificity: 0.8329, F1-Score: 0.9229 
19:19:06 : Epoch [19/100], Loss: 0.3135, Accuracy: 0.9256, Precision: 0.9910, Recall: 0.8590, Specificity: 0.9922, F1-Score: 0.9203 
19:19:21 : Epoch [20/100], Loss: 0.3143, Accuracy: 0.9021, Precision: 0.9873, Recall: 0.8146, Specificity: 0.9896, F1-Score: 0.8927 
19:19:35 : Epoch [21/100], Loss: 0.3143, Accuracy: 0.9230, Precision: 0.9909, Recall: 0.8538, Specificity: 0.9922, F1-Score: 0.9173 
19:19:50 : Epoch [22/100], Loss: 0.3652, Accuracy: 0.8146, Precision: 1.0000, Recall: 0.6292, Specificity: 1.0000, F1-Score: 0.7724 
19:20:37 : Epoch [23/100], Loss: 0.3135, Accuracy: 0.8446, Precision: 0.7629, Recall: 1.0000, Specificity: 0.6893, F1-Score: 0.8655 
19:20:51 : Epoch [24/100], Loss: 0.3137, Accuracy: 0.7415, Precision: 0.9947, Recall: 0.4856, Specificity: 0.9974, F1-Score: 0.6526 
19:21:06 : Epoch [25/100], Loss: 0.3137, Accuracy: 0.5418, Precision: 1.0000, Recall: 0.0836, Specificity: 1.0000, F1-Score: 0.1542 
19:21:20 : Epoch [26/100], Loss: 0.3137, Accuracy: 0.9700, Precision: 0.9737, Recall: 0.9661, Specificity: 0.9739, F1-Score: 0.9699 
19:21:35 : Epoch [27/100], Loss: 0.3133, Accuracy: 0.9556, Precision: 0.9225, Recall: 0.9948, Specificity: 0.9164, F1-Score: 0.9573 
19:21:49 : Epoch [28/100], Loss: 0.3221, Accuracy: 0.9778, Precision: 0.9741, Recall: 0.9817, Specificity: 0.9739, F1-Score: 0.9779 
19:22:03 : Epoch [29/100], Loss: 0.3443, Accuracy: 0.5000, Precision: 0.0000, Recall: 0.0000, Specificity: 1.0000, F1-Score: 0.0000 
19:22:18 : Epoch [30/100], Loss: 0.3139, Accuracy: 0.9621, Precision: 0.9381, Recall: 0.9896, Specificity: 0.9347, F1-Score: 0.9632 
19:22:32 : Epoch [31/100], Loss: 0.3158, Accuracy: 0.8708, Precision: 1.0000, Recall: 0.7415, Specificity: 1.0000, F1-Score: 0.8516 
19:22:47 : Epoch [32/100], Loss: 0.3526, Accuracy: 0.9569, Precision: 0.9289, Recall: 0.9896, Specificity: 0.9243, F1-Score: 0.9583 
