20:56:02 : Running on GPU 
20:56:02 : Model is CNN_Contour_LateFusion_b32e50L0.0001 
20:56:02 : No saved model found. Training a new model. 
20:56:18 : Epoch [1/50], Loss: 0.5774, Accuracy: 0.9151, Precision: 0.9760, Recall: 0.8512, Specificity: 0.9791, F1-Score: 0.9093 
20:56:33 : Epoch [2/50], Loss: 0.4200, Accuracy: 0.6841, Precision: 0.6128, Recall: 1.0000, Specificity: 0.3681, F1-Score: 0.7599 
20:56:47 : Epoch [3/50], Loss: 0.4010, Accuracy: 0.8277, Precision: 0.9922, Recall: 0.6606, Specificity: 0.9948, F1-Score: 0.7931 
20:57:02 : Epoch [4/50], Loss: 0.3714, Accuracy: 0.9517, Precision: 0.9806, Recall: 0.9217, Specificity: 0.9817, F1-Score: 0.9502 
20:57:16 : Epoch [5/50], Loss: 0.3306, Accuracy: 0.7298, Precision: 0.9944, Recall: 0.4621, Specificity: 0.9974, F1-Score: 0.6310 
20:57:31 : Epoch [6/50], Loss: 0.3613, Accuracy: 0.9465, Precision: 0.9803, Recall: 0.9112, Specificity: 0.9817, F1-Score: 0.9445 
20:57:45 : Epoch [7/50], Loss: 0.3175, Accuracy: 0.9595, Precision: 0.9835, Recall: 0.9347, Specificity: 0.9843, F1-Score: 0.9585 
20:58:00 : Epoch [8/50], Loss: 0.3161, Accuracy: 0.9308, Precision: 0.8802, Recall: 0.9974, Specificity: 0.8642, F1-Score: 0.9351 
20:58:14 : Epoch [9/50], Loss: 0.3242, Accuracy: 0.5104, Precision: 1.0000, Recall: 0.0209, Specificity: 1.0000, F1-Score: 0.0409 
20:58:29 : Epoch [10/50], Loss: 0.3138, Accuracy: 0.9595, Precision: 0.9335, Recall: 0.9896, Specificity: 0.9295, F1-Score: 0.9607 
20:58:43 : Epoch [11/50], Loss: 0.3459, Accuracy: 0.7219, Precision: 0.6426, Recall: 1.0000, Specificity: 0.4439, F1-Score: 0.7824 
