23:31:51 : Error occured With n_samples=0, test_size=0.25 and train_size=None, the resulting train set will be empty. Adjust any of the aforementioned parameters. 
23:31:51 : Traceback (most recent call last):
  File "C:\Users\bt22aak\OneDrive - University of Hertfordshire\ProjectWorkables\MscProjectRepo\smt_repo\Exp7_4_LateFusion_HighRes.py", line 632, in <module>
    train_idx_raw, val_idx_raw = train_test_split(range(len(train_val_dataset_raw)), test_size=0.25, random_state=42, stratify=train_val_dataset_raw.labels)
  File "C:\Users\bt22aak\AppData\Roaming\Python\Python310\site-packages\sklearn\utils\_param_validation.py", line 211, in wrapper
    return func(*args, **kwargs)
  File "C:\Users\bt22aak\AppData\Roaming\Python\Python310\site-packages\sklearn\model_selection\_split.py", line 2617, in train_test_split
    n_train, n_test = _validate_shuffle_split(
  File "C:\Users\bt22aak\AppData\Roaming\Python\Python310\site-packages\sklearn\model_selection\_split.py", line 2273, in _validate_shuffle_split
    raise ValueError(
ValueError: With n_samples=0, test_size=0.25 and train_size=None, the resulting train set will be empty. Adjust any of the aforementioned parameters.
 
23:31:51 : ****************************** 
23:42:03 : Sample path is  C:/Users/bt22aak/GPU_DS/Exp_6_3_Baseline_128x96_80_split/balanced 
23:47:57 : Sample raw path is  C:/Users/bt22aak/GPU_DS/Exp_6_3_Baseline_128x96_80_split/balanced 
23:47:57 : Sample of path is  C:/Users/bt22aak/GPU_DS/Exp_6_2_BG+OF_Baseline_80_Split/balanced 
23:49:20 : Running on GPU 
23:49:20 : Model is CNN_Orig_LateFusion_b32e50L0.0001 
23:49:21 : Saved Model Path is ./Results/Exp7_4_LateFusion_HighRes/CNN_Orig_LateFusion/CNN_Orig_LateFusion_b32e50L0.0001.pth 
23:49:21 : No saved model found. Training a new model. 
23:52:06 : Epoch [1/50], Loss: 0.6681, Accuracy: 0.8120, Precision: 0.7385, Recall: 0.9661, Specificity: 0.6580, F1-Score: 0.8371 
23:54:42 : Epoch [2/50], Loss: 0.5167, Accuracy: 0.5013, Precision: 0.5007, Recall: 1.0000, Specificity: 0.0026, F1-Score: 0.6672 
23:57:19 : Epoch [3/50], Loss: 0.3772, Accuracy: 0.9752, Precision: 0.9643, Recall: 0.9869, Specificity: 0.9634, F1-Score: 0.9755 
23:59:56 : Epoch [4/50], Loss: 0.4085, Accuracy: 0.9726, Precision: 0.9641, Recall: 0.9817, Specificity: 0.9634, F1-Score: 0.9728 
00:02:32 : Epoch [5/50], Loss: 0.4011, Accuracy: 0.9752, Precision: 0.9946, Recall: 0.9556, Specificity: 0.9948, F1-Score: 0.9747 
00:05:08 : Epoch [6/50], Loss: 0.3314, Accuracy: 0.9582, Precision: 0.9333, Recall: 0.9869, Specificity: 0.9295, F1-Score: 0.9594 
00:07:44 : Epoch [7/50], Loss: 0.3215, Accuracy: 0.9295, Precision: 1.0000, Recall: 0.8590, Specificity: 1.0000, F1-Score: 0.9242 
00:10:19 : Epoch [8/50], Loss: 0.3541, Accuracy: 0.9595, Precision: 0.9944, Recall: 0.9243, Specificity: 0.9948, F1-Score: 0.9581 
00:12:55 : Epoch [9/50], Loss: 0.3446, Accuracy: 0.8760, Precision: 0.8013, Recall: 1.0000, Specificity: 0.7520, F1-Score: 0.8897 
00:15:31 : Epoch [10/50], Loss: 0.3181, Accuracy: 0.9360, Precision: 0.8866, Recall: 1.0000, Specificity: 0.8721, F1-Score: 0.9399 
00:18:07 : Epoch [11/50], Loss: 0.3215, Accuracy: 0.8107, Precision: 0.7254, Recall: 1.0000, Specificity: 0.6214, F1-Score: 0.8408 
00:20:42 : Epoch [12/50], Loss: 0.3231, Accuracy: 0.7846, Precision: 1.0000, Recall: 0.5692, Specificity: 1.0000, F1-Score: 0.7255 
