13:03:28 : Path identified is C:\Users\bt22aak\GPU_DS\Exp_0\Exp_0_multipleChecks  
13:03:28 : Starting the processing of Exp_0_multipleChecks_b32e50L0.001 
13:03:45 : Running on GPU 
13:03:45 : Model is Exp_0_multipleChecks_b32e50L0.001 
13:04:12 : Epoch [1/50], Loss: 0.0284, Accuracy: 0.9858, Precision: 0.8091, Recall: 0.6990, Specificity: 0.9948, F1-Score: 0.7500 
13:04:38 : Epoch [2/50], Loss: 0.0254, Accuracy: 0.9875, Precision: 0.7660, Recall: 0.8482, Specificity: 0.9918, F1-Score: 0.8050 
13:05:04 : Epoch [3/50], Loss: 0.0102, Accuracy: 0.9881, Precision: 0.8192, Recall: 0.7827, Specificity: 0.9946, F1-Score: 0.8005 
13:05:30 : Epoch [4/50], Loss: 0.0097, Accuracy: 0.9885, Precision: 0.8036, Recall: 0.8246, Specificity: 0.9937, F1-Score: 0.8140 
13:05:56 : Epoch [5/50], Loss: 0.0184, Accuracy: 0.9889, Precision: 0.8462, Recall: 0.7775, Specificity: 0.9956, F1-Score: 0.8104 
13:06:22 : Epoch [6/50], Loss: 0.0209, Accuracy: 0.9892, Precision: 0.8643, Recall: 0.7670, Specificity: 0.9962, F1-Score: 0.8128 
13:06:46 : Epoch [7/50], Loss: 0.0256, Accuracy: 0.9882, Precision: 0.8900, Recall: 0.6990, Specificity: 0.9973, F1-Score: 0.7830 
13:07:12 : Epoch [8/50], Loss: 0.0156, Accuracy: 0.9897, Precision: 0.8170, Recall: 0.8534, Specificity: 0.9940, F1-Score: 0.8348 
13:07:37 : Epoch [9/50], Loss: 0.0094, Accuracy: 0.9891, Precision: 0.8203, Recall: 0.8246, Specificity: 0.9943, F1-Score: 0.8225 
13:08:03 : Epoch [10/50], Loss: 0.0117, Accuracy: 0.9901, Precision: 0.8772, Recall: 0.7853, Specificity: 0.9965, F1-Score: 0.8287 
13:08:29 : Epoch [11/50], Loss: 0.0182, Accuracy: 0.9883, Precision: 0.8041, Recall: 0.8168, Specificity: 0.9937, F1-Score: 0.8104 
13:08:54 : Epoch [12/50], Loss: 0.0058, Accuracy: 0.9889, Precision: 0.8563, Recall: 0.7644, Specificity: 0.9960, F1-Score: 0.8077 
13:09:20 : Epoch [13/50], Loss: 0.0058, Accuracy: 0.9892, Precision: 0.8080, Recall: 0.8482, Specificity: 0.9937, F1-Score: 0.8276 
13:09:45 : Epoch [14/50], Loss: 0.0036, Accuracy: 0.9886, Precision: 0.8010, Recall: 0.8325, Specificity: 0.9935, F1-Score: 0.8164 
13:10:11 : Epoch [15/50], Loss: 0.0004, Accuracy: 0.9877, Precision: 0.7579, Recall: 0.8770, Specificity: 0.9912, F1-Score: 0.8131 
13:10:36 : Epoch [16/50], Loss: 0.0028, Accuracy: 0.9887, Precision: 0.8000, Recall: 0.8377, Specificity: 0.9934, F1-Score: 0.8184 
13:11:01 : Epoch [17/50], Loss: 0.0019, Accuracy: 0.9899, Precision: 0.8437, Recall: 0.8194, Specificity: 0.9952, F1-Score: 0.8313 
13:11:27 : Epoch [18/50], Loss: 0.0022, Accuracy: 0.9887, Precision: 0.8231, Recall: 0.8037, Specificity: 0.9946, F1-Score: 0.8132 
13:11:52 : Epoch [19/50], Loss: 0.0016, Accuracy: 0.9896, Precision: 0.8231, Recall: 0.8403, Specificity: 0.9943, F1-Score: 0.8316 
13:12:18 : Epoch [20/50], Loss: 0.0018, Accuracy: 0.9874, Precision: 0.7557, Recall: 0.8665, Specificity: 0.9912, F1-Score: 0.8073 
13:12:44 : Epoch [21/50], Loss: 0.0169, Accuracy: 0.9885, Precision: 0.8362, Recall: 0.7749, Specificity: 0.9952, F1-Score: 0.8043 
13:13:09 : Epoch [22/50], Loss: 0.0075, Accuracy: 0.9882, Precision: 0.7683, Recall: 0.8770, Specificity: 0.9917, F1-Score: 0.8191 
13:13:35 : Epoch [23/50], Loss: 0.0032, Accuracy: 0.9877, Precision: 0.8081, Recall: 0.7827, Specificity: 0.9942, F1-Score: 0.7952 
13:14:01 : Epoch [24/50], Loss: 0.0009, Accuracy: 0.9842, Precision: 0.6925, Recall: 0.8665, Specificity: 0.9879, F1-Score: 0.7698 
13:14:26 : Epoch [25/50], Loss: 0.0016, Accuracy: 0.9887, Precision: 0.8000, Recall: 0.8377, Specificity: 0.9934, F1-Score: 0.8184 
13:14:52 : Epoch [26/50], Loss: 0.0001, Accuracy: 0.9886, Precision: 0.8041, Recall: 0.8272, Specificity: 0.9937, F1-Score: 0.8155 
13:15:18 : Epoch [27/50], Loss: 0.0000, Accuracy: 0.9891, Precision: 0.8551, Recall: 0.7723, Specificity: 0.9959, F1-Score: 0.8116 
13:15:44 : Epoch [28/50], Loss: 0.0000, Accuracy: 0.9888, Precision: 0.7909, Recall: 0.8613, Specificity: 0.9928, F1-Score: 0.8246 
13:16:10 : Epoch [29/50], Loss: 0.0005, Accuracy: 0.9881, Precision: 0.8498, Recall: 0.7408, Specificity: 0.9959, F1-Score: 0.7916 
13:16:35 : Epoch [30/50], Loss: 0.0004, Accuracy: 0.9891, Precision: 0.8320, Recall: 0.8037, Specificity: 0.9949, F1-Score: 0.8176 
13:17:00 : Epoch [31/50], Loss: 0.0000, Accuracy: 0.9883, Precision: 0.8089, Recall: 0.8089, Specificity: 0.9940, F1-Score: 0.8089 
13:17:26 : Epoch [32/50], Loss: 0.0000, Accuracy: 0.9887, Precision: 0.8333, Recall: 0.7853, Specificity: 0.9951, F1-Score: 0.8086 
13:17:52 : Epoch [33/50], Loss: 0.0001, Accuracy: 0.9874, Precision: 0.7593, Recall: 0.8586, Specificity: 0.9914, F1-Score: 0.8059 
13:18:18 : Epoch [34/50], Loss: 0.0000, Accuracy: 0.9890, Precision: 0.8065, Recall: 0.8403, Specificity: 0.9937, F1-Score: 0.8231 
13:18:43 : Epoch [35/50], Loss: 0.0000, Accuracy: 0.9889, Precision: 0.8501, Recall: 0.7723, Specificity: 0.9957, F1-Score: 0.8093 
13:19:09 : Epoch [36/50], Loss: 0.0000, Accuracy: 0.9889, Precision: 0.8140, Recall: 0.8246, Specificity: 0.9941, F1-Score: 0.8192 
13:19:35 : Epoch [37/50], Loss: 0.0000, Accuracy: 0.9891, Precision: 0.8412, Recall: 0.7906, Specificity: 0.9953, F1-Score: 0.8151 
13:20:01 : Epoch [38/50], Loss: 0.0000, Accuracy: 0.9878, Precision: 0.7813, Recall: 0.8325, Specificity: 0.9927, F1-Score: 0.8061 
13:20:27 : Epoch [39/50], Loss: 0.0000, Accuracy: 0.9884, Precision: 0.8015, Recall: 0.8246, Specificity: 0.9936, F1-Score: 0.8129 
13:20:52 : Epoch [40/50], Loss: 0.0000, Accuracy: 0.9883, Precision: 0.8224, Recall: 0.7880, Specificity: 0.9946, F1-Score: 0.8048 
13:21:18 : Epoch [41/50], Loss: 0.0000, Accuracy: 0.9894, Precision: 0.8392, Recall: 0.8063, Specificity: 0.9951, F1-Score: 0.8224 
13:21:43 : Epoch [42/50], Loss: 0.0000, Accuracy: 0.9883, Precision: 0.8155, Recall: 0.7984, Specificity: 0.9943, F1-Score: 0.8069 
13:22:09 : Epoch [43/50], Loss: 0.0000, Accuracy: 0.9877, Precision: 0.7850, Recall: 0.8220, Specificity: 0.9929, F1-Score: 0.8031 
13:22:35 : Epoch [44/50], Loss: 0.0000, Accuracy: 0.9890, Precision: 0.8427, Recall: 0.7853, Specificity: 0.9954, F1-Score: 0.8130 
13:23:00 : Epoch [45/50], Loss: 0.0000, Accuracy: 0.9882, Precision: 0.8401, Recall: 0.7565, Specificity: 0.9955, F1-Score: 0.7961 
13:23:27 : Epoch [46/50], Loss: 0.0000, Accuracy: 0.9891, Precision: 0.8203, Recall: 0.8246, Specificity: 0.9943, F1-Score: 0.8225 
13:23:53 : Epoch [47/50], Loss: 0.0001, Accuracy: 0.9883, Precision: 0.8084, Recall: 0.8063, Specificity: 0.9940, F1-Score: 0.8073 
13:24:18 : Epoch [48/50], Loss: 0.0000, Accuracy: 0.9885, Precision: 0.8459, Recall: 0.7618, Specificity: 0.9956, F1-Score: 0.8017 
13:24:44 : Epoch [49/50], Loss: 0.0000, Accuracy: 0.9892, Precision: 0.8459, Recall: 0.7906, Specificity: 0.9955, F1-Score: 0.8173 
13:25:10 : Epoch [50/50], Loss: 0.0000, Accuracy: 0.9887, Precision: 0.8158, Recall: 0.8115, Specificity: 0.9942, F1-Score: 0.8136 
13:25:17 : Test Loss: 0.4578, Test Accuracy: 0.9883, Test Precision: 0.8381, Test Recall: 0.7682, Test Specificity: 0.9953, Test F1-Score: 0.8016 
13:25:17 : Total Time taken: 1309.7848051000037 Seconds 
13:25:17 : Learning rate is 1e-05 
13:25:17 : Path identified is C:\Users\bt22aak\GPU_DS\Exp_0\Exp_0_multipleChecks  
13:25:17 : Starting the processing of Exp_0_multipleChecks_b32e50L1e-05 
13:25:33 : Running on GPU 
13:25:33 : Model is Exp_0_multipleChecks_b32e50L1e-05 
13:25:58 : Epoch [1/50], Loss: 0.2298, Accuracy: 0.9776, Precision: 0.7285, Recall: 0.4215, Specificity: 0.9951, F1-Score: 0.5340 
13:26:23 : Epoch [2/50], Loss: 0.1149, Accuracy: 0.9816, Precision: 0.8140, Recall: 0.5157, Specificity: 0.9963, F1-Score: 0.6314 
13:26:48 : Epoch [3/50], Loss: 0.0699, Accuracy: 0.9821, Precision: 0.7651, Recall: 0.5969, Specificity: 0.9942, F1-Score: 0.6706 
13:27:13 : Epoch [4/50], Loss: 0.0487, Accuracy: 0.9828, Precision: 0.8879, Recall: 0.4974, Specificity: 0.9980, F1-Score: 0.6376 
13:27:39 : Epoch [5/50], Loss: 0.0615, Accuracy: 0.9827, Precision: 0.7200, Recall: 0.7068, Specificity: 0.9914, F1-Score: 0.7133 
