18:45:00 : Path identified is C:\Users\bt22aak\GPU_DS\Exp_1\Exp_1_5_OG_BGS_sOBEL\Balanced and C:\Users\bt22aak\GPU_DS\Exp_1\Exp_1_5_OG_BGS_sOBEL\Unbalanced 
18:45:00 : Starting the processing of Exp_1_5_OG_BGS_sOBEL_b32e50L0.0001 
18:45:00 : ****************************** 
18:45:00 : Error occured can only convert an array of size 1 to a Python scalar 
18:45:00 : Traceback (most recent call last):
  File "C:\Users\bt22aak\OneDrive - University of Hertfordshire\ProjectWorkables\MscProjectRepo\smt_repo\Exp_1_5_OG_BGS_sOBEL.py", line 278, in <module>
    test_dataset = OpticalFlow2DDataset(test_path)
  File "C:\Users\bt22aak\OneDrive - University of Hertfordshire\ProjectWorkables\MscProjectRepo\smt_repo\dataset_prep_2d.py", line 17, in __init__
    data = np.load(file_path, allow_pickle=True).item()
ValueError: can only convert an array of size 1 to a Python scalar
 
18:45:00 : ****************************** 
23:49:21 : Path identified is C:\Users\bt22aak\GPU_DS\Exp_1_new\Exp_1_5_OG_BGS_sOBEL\Balanced and C:\Users\bt22aak\GPU_DS\Exp_1_new\Exp_1_5_OG_BGS_sOBEL\Unbalanced 
23:49:21 : Starting the processing of Exp_1_5_OG_BGS_sOBEL_b32e50L0.0001 
23:50:10 : Running on GPU 
23:50:10 : Model is Exp_1_5_OG_BGS_sOBEL_b32e50L0.0001 
23:50:22 : Epoch [1/50], Loss: 0.2839, Accuracy: 0.8925, Precision: 0.9178, Recall: 0.8622, Specificity: 0.9228, F1-Score: 0.8891 
23:50:30 : Epoch [2/50], Loss: 0.2790, Accuracy: 0.9207, Precision: 0.9006, Recall: 0.9457, Specificity: 0.8956, F1-Score: 0.9226 
23:50:39 : Epoch [3/50], Loss: 0.3097, Accuracy: 0.9301, Precision: 0.9104, Recall: 0.9541, Specificity: 0.9061, F1-Score: 0.9317 
23:50:47 : Epoch [4/50], Loss: 0.2664, Accuracy: 0.9269, Precision: 0.9182, Recall: 0.9374, Specificity: 0.9165, F1-Score: 0.9277 
23:50:55 : Epoch [5/50], Loss: 0.2674, Accuracy: 0.9238, Precision: 0.9319, Recall: 0.9144, Specificity: 0.9332, F1-Score: 0.9231 
23:51:04 : Epoch [6/50], Loss: 0.3054, Accuracy: 0.9238, Precision: 0.8965, Recall: 0.9582, Specificity: 0.8894, F1-Score: 0.9263 
23:51:12 : Epoch [7/50], Loss: 0.2562, Accuracy: 0.9405, Precision: 0.9324, Recall: 0.9499, Specificity: 0.9311, F1-Score: 0.9411 
23:51:21 : Epoch [8/50], Loss: 0.3699, Accuracy: 0.9311, Precision: 0.9172, Recall: 0.9478, Specificity: 0.9144, F1-Score: 0.9322 
23:51:29 : Epoch [9/50], Loss: 0.1770, Accuracy: 0.9228, Precision: 0.9592, Recall: 0.8831, Specificity: 0.9624, F1-Score: 0.9196 
23:51:37 : Epoch [10/50], Loss: 0.1999, Accuracy: 0.9395, Precision: 0.9450, Recall: 0.9332, Specificity: 0.9457, F1-Score: 0.9391 
23:51:46 : Epoch [11/50], Loss: 0.2115, Accuracy: 0.9322, Precision: 0.9404, Recall: 0.9228, Specificity: 0.9415, F1-Score: 0.9315 
