18:45:06 : Path identified is C:\Users\bt22aak\GPU_DS\Exp_1\Exp_1_6_OG_Sobel_BGS\Balanced and C:\Users\bt22aak\GPU_DS\Exp_1\Exp_1_6_OG_Sobel_BGS\Unbalanced 
18:45:06 : Starting the processing of Exp_1_6_OG_Sobel_BGS_b32e50L0.0001 
18:46:22 : Running on GPU 
18:46:22 : Model is Exp_1_6_OG_Sobel_BGS_b32e50L0.0001 
18:46:42 : Epoch [1/50], Loss: 0.3849, Accuracy: 0.9029, Precision: 0.9089, Recall: 0.8956, Specificity: 0.9102, F1-Score: 0.9022 
18:46:52 : Epoch [2/50], Loss: 0.2340, Accuracy: 0.9238, Precision: 0.9060, Recall: 0.9457, Specificity: 0.9019, F1-Score: 0.9254 
18:47:01 : Epoch [3/50], Loss: 0.1889, Accuracy: 0.9290, Precision: 0.9272, Recall: 0.9311, Specificity: 0.9269, F1-Score: 0.9292 
18:47:11 : Epoch [4/50], Loss: 0.1860, Accuracy: 0.9301, Precision: 0.9383, Recall: 0.9207, Specificity: 0.9395, F1-Score: 0.9294 
18:47:20 : Epoch [5/50], Loss: 0.2133, Accuracy: 0.9269, Precision: 0.9637, Recall: 0.8873, Specificity: 0.9666, F1-Score: 0.9239 
18:47:29 : Epoch [6/50], Loss: 0.0684, Accuracy: 0.9363, Precision: 0.9318, Recall: 0.9415, Specificity: 0.9311, F1-Score: 0.9367 
18:47:39 : Epoch [7/50], Loss: 0.1122, Accuracy: 0.9405, Precision: 0.9607, Recall: 0.9186, Specificity: 0.9624, F1-Score: 0.9392 
18:47:48 : Epoch [8/50], Loss: 0.1843, Accuracy: 0.9395, Precision: 0.9546, Recall: 0.9228, Specificity: 0.9562, F1-Score: 0.9384 
18:47:58 : Epoch [9/50], Loss: 0.0388, Accuracy: 0.9426, Precision: 0.9417, Recall: 0.9436, Specificity: 0.9415, F1-Score: 0.9426 
18:48:07 : Epoch [10/50], Loss: 0.0358, Accuracy: 0.9468, Precision: 0.9496, Recall: 0.9436, Specificity: 0.9499, F1-Score: 0.9466 
18:48:17 : Epoch [11/50], Loss: 0.0307, Accuracy: 0.9520, Precision: 0.9577, Recall: 0.9457, Specificity: 0.9582, F1-Score: 0.9517 
18:48:26 : Epoch [12/50], Loss: 0.4739, Accuracy: 0.9478, Precision: 0.9554, Recall: 0.9395, Specificity: 0.9562, F1-Score: 0.9474 
18:48:35 : Epoch [13/50], Loss: 0.0418, Accuracy: 0.9363, Precision: 0.9147, Recall: 0.9624, Specificity: 0.9102, F1-Score: 0.9379 
18:48:45 : Epoch [14/50], Loss: 0.1259, Accuracy: 0.9426, Precision: 0.9569, Recall: 0.9269, Specificity: 0.9582, F1-Score: 0.9417 
18:48:54 : Epoch [15/50], Loss: 0.0751, Accuracy: 0.9457, Precision: 0.9495, Recall: 0.9415, Specificity: 0.9499, F1-Score: 0.9455 
18:49:04 : Epoch [16/50], Loss: 0.1341, Accuracy: 0.9436, Precision: 0.9610, Recall: 0.9248, Specificity: 0.9624, F1-Score: 0.9426 
18:49:13 : Epoch [17/50], Loss: 0.0321, Accuracy: 0.9468, Precision: 0.9477, Recall: 0.9457, Specificity: 0.9478, F1-Score: 0.9467 
18:49:23 : Epoch [18/50], Loss: 0.0412, Accuracy: 0.9436, Precision: 0.9493, Recall: 0.9374, Specificity: 0.9499, F1-Score: 0.9433 
18:49:32 : Epoch [19/50], Loss: 0.0300, Accuracy: 0.9457, Precision: 0.9476, Recall: 0.9436, Specificity: 0.9478, F1-Score: 0.9456 
18:49:41 : Epoch [20/50], Loss: 0.0373, Accuracy: 0.9436, Precision: 0.9493, Recall: 0.9374, Specificity: 0.9499, F1-Score: 0.9433 
18:49:51 : Epoch [21/50], Loss: 0.0946, Accuracy: 0.9415, Precision: 0.9529, Recall: 0.9290, Specificity: 0.9541, F1-Score: 0.9408 
18:50:00 : Epoch [22/50], Loss: 0.0494, Accuracy: 0.9415, Precision: 0.9490, Recall: 0.9332, Specificity: 0.9499, F1-Score: 0.9411 
18:50:10 : Epoch [23/50], Loss: 0.0421, Accuracy: 0.9447, Precision: 0.9513, Recall: 0.9374, Specificity: 0.9520, F1-Score: 0.9443 
18:50:19 : Epoch [24/50], Loss: 0.0996, Accuracy: 0.9405, Precision: 0.9547, Recall: 0.9248, Specificity: 0.9562, F1-Score: 0.9396 
