20:46:01 : Path identified is C:\Users\bt22aak\GPU_DS\Exp_2\Exp_2_5_Canny_75_150\Balanced and C:\Users\bt22aak\GPU_DS\Exp_2\Exp_2_5_Canny_75_150\Unbalanced 
20:46:01 : Starting the processing of Exp_2_5_Canny_75_150_b32e50L0.0001 
20:46:40 : Running on GPU 
20:46:40 : Model is Exp_2_5_Canny_75_150_b32e50L0.0001 
20:46:51 : Epoch [1/50], Loss: 0.4118, Accuracy: 0.9029, Precision: 0.8971, Recall: 0.9102, Specificity: 0.8956, F1-Score: 0.9036 
20:46:59 : Epoch [2/50], Loss: 0.2570, Accuracy: 0.9186, Precision: 0.8955, Recall: 0.9478, Specificity: 0.8894, F1-Score: 0.9209 
20:47:09 : Epoch [3/50], Loss: 0.2287, Accuracy: 0.9259, Precision: 0.8984, Recall: 0.9603, Specificity: 0.8914, F1-Score: 0.9284 
20:47:18 : Epoch [4/50], Loss: 0.2941, Accuracy: 0.9165, Precision: 0.8815, Recall: 0.9624, Specificity: 0.8706, F1-Score: 0.9202 
20:47:26 : Epoch [5/50], Loss: 0.1096, Accuracy: 0.9395, Precision: 0.9119, Recall: 0.9729, Specificity: 0.9061, F1-Score: 0.9414 
20:47:35 : Epoch [6/50], Loss: 0.1209, Accuracy: 0.9478, Precision: 0.9405, Recall: 0.9562, Specificity: 0.9395, F1-Score: 0.9482 
20:47:44 : Epoch [7/50], Loss: 0.0900, Accuracy: 0.9447, Precision: 0.9401, Recall: 0.9499, Specificity: 0.9395, F1-Score: 0.9450 
20:47:52 : Epoch [8/50], Loss: 0.1194, Accuracy: 0.9395, Precision: 0.9546, Recall: 0.9228, Specificity: 0.9562, F1-Score: 0.9384 
20:48:01 : Epoch [9/50], Loss: 0.0475, Accuracy: 0.9457, Precision: 0.9384, Recall: 0.9541, Specificity: 0.9374, F1-Score: 0.9462 
20:48:10 : Epoch [10/50], Loss: 0.1415, Accuracy: 0.9332, Precision: 0.9560, Recall: 0.9081, Specificity: 0.9582, F1-Score: 0.9315 
20:48:18 : Epoch [11/50], Loss: 0.0954, Accuracy: 0.9457, Precision: 0.9296, Recall: 0.9645, Specificity: 0.9269, F1-Score: 0.9467 
20:48:27 : Epoch [12/50], Loss: 0.1441, Accuracy: 0.9426, Precision: 0.9435, Recall: 0.9415, Specificity: 0.9436, F1-Score: 0.9425 
20:48:36 : Epoch [13/50], Loss: 0.0093, Accuracy: 0.9457, Precision: 0.9366, Recall: 0.9562, Specificity: 0.9353, F1-Score: 0.9463 
20:48:45 : Epoch [14/50], Loss: 0.1148, Accuracy: 0.9363, Precision: 0.9466, Recall: 0.9248, Specificity: 0.9478, F1-Score: 0.9356 
20:48:53 : Epoch [15/50], Loss: 0.0170, Accuracy: 0.9415, Precision: 0.9256, Recall: 0.9603, Specificity: 0.9228, F1-Score: 0.9426 
20:49:02 : Epoch [16/50], Loss: 0.0655, Accuracy: 0.9499, Precision: 0.9462, Recall: 0.9541, Specificity: 0.9457, F1-Score: 0.9501 
20:49:10 : Epoch [17/50], Loss: 0.1753, Accuracy: 0.9499, Precision: 0.9462, Recall: 0.9541, Specificity: 0.9457, F1-Score: 0.9501 
20:49:19 : Epoch [18/50], Loss: 0.0721, Accuracy: 0.9541, Precision: 0.9466, Recall: 0.9624, Specificity: 0.9457, F1-Score: 0.9545 
20:49:28 : Epoch [19/50], Loss: 0.0631, Accuracy: 0.9530, Precision: 0.9447, Recall: 0.9624, Specificity: 0.9436, F1-Score: 0.9535 
20:49:36 : Epoch [20/50], Loss: 0.0594, Accuracy: 0.9499, Precision: 0.9389, Recall: 0.9624, Specificity: 0.9374, F1-Score: 0.9505 
20:49:45 : Epoch [21/50], Loss: 0.0596, Accuracy: 0.9520, Precision: 0.9427, Recall: 0.9624, Specificity: 0.9415, F1-Score: 0.9525 
20:49:54 : Epoch [22/50], Loss: 0.0578, Accuracy: 0.9509, Precision: 0.9408, Recall: 0.9624, Specificity: 0.9395, F1-Score: 0.9515 
20:50:02 : Epoch [23/50], Loss: 0.0551, Accuracy: 0.9509, Precision: 0.9408, Recall: 0.9624, Specificity: 0.9395, F1-Score: 0.9515 
20:50:11 : Epoch [24/50], Loss: 0.0513, Accuracy: 0.9509, Precision: 0.9408, Recall: 0.9624, Specificity: 0.9395, F1-Score: 0.9515 
20:50:20 : Epoch [25/50], Loss: 0.0507, Accuracy: 0.9499, Precision: 0.9389, Recall: 0.9624, Specificity: 0.9374, F1-Score: 0.9505 
20:50:28 : Epoch [26/50], Loss: 0.0512, Accuracy: 0.9489, Precision: 0.9370, Recall: 0.9624, Specificity: 0.9353, F1-Score: 0.9495 
