00:18:59 : Path identified is D:\UH_KTP\Outputs\Exp_6_1_Baseline_80_Split\Balanced and D:\UH_KTP\Outputs\Exp_6_1_Baseline_80_Split\Unbalanced 
00:18:59 : Starting the processing of Exp_6_1_Baseline_newPC_b32e50L1e-05 
00:19:24 : Running on GPU 
00:19:24 : Model is Exp_6_1_Baseline_newPC_b32e50L1e-05 
00:19:44 : Epoch [1/50], Loss: 0.5533, Accuracy: 0.8107, Precision: 0.8148, Recall: 0.8042, Specificity: 0.8172, F1-Score: 0.8095 
00:20:03 : Epoch [2/50], Loss: 0.4274, Accuracy: 0.8577, Precision: 0.8460, Recall: 0.8747, Specificity: 0.8407, F1-Score: 0.8601 
00:20:22 : Epoch [3/50], Loss: 0.3672, Accuracy: 0.8681, Precision: 0.8013, Recall: 0.9791, Specificity: 0.7572, F1-Score: 0.8813 
00:20:40 : Epoch [4/50], Loss: 0.3307, Accuracy: 0.8877, Precision: 0.8337, Recall: 0.9687, Specificity: 0.8068, F1-Score: 0.8961 
00:20:59 : Epoch [5/50], Loss: 0.2529, Accuracy: 0.9125, Precision: 0.9389, Recall: 0.8825, Specificity: 0.9426, F1-Score: 0.9098 
00:21:18 : Epoch [6/50], Loss: 0.2950, Accuracy: 0.9086, Precision: 0.8549, Recall: 0.9843, Specificity: 0.8329, F1-Score: 0.9150 
00:21:37 : Epoch [7/50], Loss: 0.2340, Accuracy: 0.9308, Precision: 0.9253, Recall: 0.9373, Specificity: 0.9243, F1-Score: 0.9313 
00:21:56 : Epoch [8/50], Loss: 0.2753, Accuracy: 0.9217, Precision: 0.8747, Recall: 0.9843, Specificity: 0.8590, F1-Score: 0.9263 
00:22:15 : Epoch [9/50], Loss: 0.2146, Accuracy: 0.9399, Precision: 0.9288, Recall: 0.9530, Specificity: 0.9269, F1-Score: 0.9407 
00:22:33 : Epoch [10/50], Loss: 0.2636, Accuracy: 0.9256, Precision: 0.8844, Recall: 0.9791, Specificity: 0.8721, F1-Score: 0.9294 
00:22:52 : Epoch [11/50], Loss: 0.1791, Accuracy: 0.9386, Precision: 0.9352, Recall: 0.9426, Specificity: 0.9347, F1-Score: 0.9389 
00:23:10 : Epoch [12/50], Loss: 0.1956, Accuracy: 0.9465, Precision: 0.9233, Recall: 0.9739, Specificity: 0.9191, F1-Score: 0.9479 
00:23:28 : Epoch [13/50], Loss: 0.2255, Accuracy: 0.9347, Precision: 0.8993, Recall: 0.9791, Specificity: 0.8903, F1-Score: 0.9375 
00:23:47 : Epoch [14/50], Loss: 0.1591, Accuracy: 0.9491, Precision: 0.9365, Recall: 0.9634, Specificity: 0.9347, F1-Score: 0.9498 
00:24:05 : Epoch [15/50], Loss: 0.1964, Accuracy: 0.9439, Precision: 0.9126, Recall: 0.9817, Specificity: 0.9060, F1-Score: 0.9459 
00:24:23 : Epoch [16/50], Loss: 0.2268, Accuracy: 0.9373, Precision: 0.9017, Recall: 0.9817, Specificity: 0.8930, F1-Score: 0.9400 
00:24:41 : Epoch [17/50], Loss: 0.1396, Accuracy: 0.9556, Precision: 0.9418, Recall: 0.9713, Specificity: 0.9399, F1-Score: 0.9563 
