00:08:01 : Path identified is ../GPU_DS/Bal_BGS_Canny_50_150_160x120 
00:08:03 : Model is Bal+BGS+Canny(50-150)+size(160x140)_b16e50L1e-05 
00:10:49 : Epoch [1/50], Loss: 0.2357, Accuracy: 0.9074, Precision: 0.8662, Recall: 0.9634, Specificity: 0.8516, F1-Score: 0.9122 
00:13:32 : Epoch [2/50], Loss: 0.1784, Accuracy: 0.9361, Precision: 0.9175, Recall: 0.9582, Specificity: 0.9141, F1-Score: 0.9374 
00:16:16 : Epoch [3/50], Loss: 0.1544, Accuracy: 0.9465, Precision: 0.9275, Recall: 0.9687, Specificity: 0.9245, F1-Score: 0.9476 
00:19:00 : Epoch [4/50], Loss: 0.1690, Accuracy: 0.9478, Precision: 0.9432, Recall: 0.9530, Specificity: 0.9427, F1-Score: 0.9481 
00:21:44 : Epoch [5/50], Loss: 0.1633, Accuracy: 0.9492, Precision: 0.9343, Recall: 0.9661, Specificity: 0.9323, F1-Score: 0.9499 
00:24:28 : Epoch [6/50], Loss: 0.1564, Accuracy: 0.9439, Precision: 0.9595, Recall: 0.9269, Specificity: 0.9609, F1-Score: 0.9429 
00:27:11 : Epoch [7/50], Loss: 0.0777, Accuracy: 0.9570, Precision: 0.9419, Recall: 0.9739, Specificity: 0.9401, F1-Score: 0.9576 
00:29:55 : Epoch [8/50], Loss: 0.0412, Accuracy: 0.9531, Precision: 0.9483, Recall: 0.9582, Specificity: 0.9479, F1-Score: 0.9532 
00:32:39 : Epoch [9/50], Loss: 0.0123, Accuracy: 0.9518, Precision: 0.9482, Recall: 0.9556, Specificity: 0.9479, F1-Score: 0.9519 
00:35:22 : Epoch [10/50], Loss: 0.0146, Accuracy: 0.9570, Precision: 0.9510, Recall: 0.9634, Specificity: 0.9505, F1-Score: 0.9572 
00:38:06 : Epoch [11/50], Loss: 0.0061, Accuracy: 0.9570, Precision: 0.9605, Recall: 0.9530, Specificity: 0.9609, F1-Score: 0.9567 
00:40:49 : Epoch [12/50], Loss: 0.0035, Accuracy: 0.9557, Precision: 0.9509, Recall: 0.9608, Specificity: 0.9505, F1-Score: 0.9558 
00:43:33 : Epoch [13/50], Loss: 0.0208, Accuracy: 0.9583, Precision: 0.9705, Recall: 0.9452, Specificity: 0.9714, F1-Score: 0.9577 
00:46:16 : Epoch [14/50], Loss: 0.0076, Accuracy: 0.9518, Precision: 0.9577, Recall: 0.9452, Specificity: 0.9583, F1-Score: 0.9514 
00:48:59 : Epoch [15/50], Loss: 0.0010, Accuracy: 0.9531, Precision: 0.9460, Recall: 0.9608, Specificity: 0.9453, F1-Score: 0.9534 
00:51:50 : Epoch [16/50], Loss: 0.0011, Accuracy: 0.9596, Precision: 0.9632, Recall: 0.9556, Specificity: 0.9635, F1-Score: 0.9594 
00:54:44 : Epoch [17/50], Loss: 0.0008, Accuracy: 0.9583, Precision: 0.9582, Recall: 0.9582, Specificity: 0.9583, F1-Score: 0.9582 
00:57:30 : Epoch [18/50], Loss: 0.0008, Accuracy: 0.9570, Precision: 0.9557, Recall: 0.9582, Specificity: 0.9557, F1-Score: 0.9570 
01:00:14 : Epoch [19/50], Loss: 0.0007, Accuracy: 0.9557, Precision: 0.9556, Recall: 0.9556, Specificity: 0.9557, F1-Score: 0.9556 
01:02:57 : Epoch [20/50], Loss: 0.0006, Accuracy: 0.9544, Precision: 0.9555, Recall: 0.9530, Specificity: 0.9557, F1-Score: 0.9542 
01:05:40 : Epoch [21/50], Loss: 0.0005, Accuracy: 0.9531, Precision: 0.9554, Recall: 0.9504, Specificity: 0.9557, F1-Score: 0.9529 
01:08:23 : Epoch [22/50], Loss: 0.0006, Accuracy: 0.9544, Precision: 0.9555, Recall: 0.9530, Specificity: 0.9557, F1-Score: 0.9542 
01:11:05 : Epoch [23/50], Loss: 0.0006, Accuracy: 0.9544, Precision: 0.9555, Recall: 0.9530, Specificity: 0.9557, F1-Score: 0.9542 
01:13:48 : Epoch [24/50], Loss: 0.0006, Accuracy: 0.9531, Precision: 0.9554, Recall: 0.9504, Specificity: 0.9557, F1-Score: 0.9529 
01:16:31 : Epoch [25/50], Loss: 0.0006, Accuracy: 0.9531, Precision: 0.9554, Recall: 0.9504, Specificity: 0.9557, F1-Score: 0.9529 
01:19:14 : Epoch [26/50], Loss: 0.0006, Accuracy: 0.9531, Precision: 0.9554, Recall: 0.9504, Specificity: 0.9557, F1-Score: 0.9529 
01:21:57 : Epoch [27/50], Loss: 0.0006, Accuracy: 0.9583, Precision: 0.9558, Recall: 0.9608, Specificity: 0.9557, F1-Score: 0.9583 
