02:37:49 : Path identified is ../GPU_DS/bal_BGS_lap_102x76 
02:44:20 : Path identified is ../GPU_DS/bal_BGS_lap_102x76 
02:44:22 : Model is Bal+BGS+Lap+size(102x76)_b32e50L0.0001 
02:44:49 : Epoch [1/50], Loss: 0.3121, Accuracy: 0.9231, Precision: 0.8932, Recall: 0.9608, Specificity: 0.8854, F1-Score: 0.9258 
02:45:13 : Epoch [2/50], Loss: 0.2206, Accuracy: 0.9452, Precision: 0.9361, Recall: 0.9556, Specificity: 0.9349, F1-Score: 0.9457 
02:45:37 : Epoch [3/50], Loss: 0.2219, Accuracy: 0.9478, Precision: 0.9501, Recall: 0.9452, Specificity: 0.9505, F1-Score: 0.9476 
02:46:01 : Epoch [4/50], Loss: 0.2924, Accuracy: 0.9518, Precision: 0.9391, Recall: 0.9661, Specificity: 0.9375, F1-Score: 0.9524 
02:46:26 : Epoch [5/50], Loss: 0.1501, Accuracy: 0.9492, Precision: 0.9410, Recall: 0.9582, Specificity: 0.9401, F1-Score: 0.9495 
02:46:51 : Epoch [6/50], Loss: 0.1498, Accuracy: 0.9544, Precision: 0.9531, Recall: 0.9556, Specificity: 0.9531, F1-Score: 0.9544 
02:47:16 : Epoch [7/50], Loss: 0.1085, Accuracy: 0.9531, Precision: 0.9578, Recall: 0.9478, Specificity: 0.9583, F1-Score: 0.9528 
02:47:40 : Epoch [8/50], Loss: 0.1543, Accuracy: 0.9426, Precision: 0.9619, Recall: 0.9217, Specificity: 0.9635, F1-Score: 0.9413 
02:48:04 : Epoch [9/50], Loss: 0.3389, Accuracy: 0.9492, Precision: 0.9526, Recall: 0.9452, Specificity: 0.9531, F1-Score: 0.9489 
02:48:29 : Epoch [10/50], Loss: 0.3458, Accuracy: 0.9492, Precision: 0.9365, Recall: 0.9634, Specificity: 0.9349, F1-Score: 0.9498 
02:48:53 : Epoch [11/50], Loss: 0.1817, Accuracy: 0.9505, Precision: 0.9457, Recall: 0.9556, Specificity: 0.9453, F1-Score: 0.9506 
02:49:17 : Epoch [12/50], Loss: 0.2178, Accuracy: 0.9531, Precision: 0.9530, Recall: 0.9530, Specificity: 0.9531, F1-Score: 0.9530 
02:49:41 : Epoch [13/50], Loss: 0.2671, Accuracy: 0.9518, Precision: 0.9413, Recall: 0.9634, Specificity: 0.9401, F1-Score: 0.9523 
02:50:06 : Epoch [14/50], Loss: 0.3274, Accuracy: 0.9531, Precision: 0.9530, Recall: 0.9530, Specificity: 0.9531, F1-Score: 0.9530 
02:50:30 : Epoch [15/50], Loss: 0.0954, Accuracy: 0.9492, Precision: 0.9550, Recall: 0.9426, Specificity: 0.9557, F1-Score: 0.9488 
02:50:54 : Epoch [16/50], Loss: 0.2594, Accuracy: 0.9518, Precision: 0.9482, Recall: 0.9556, Specificity: 0.9479, F1-Score: 0.9519 
02:51:18 : Epoch [17/50], Loss: 0.2823, Accuracy: 0.9492, Precision: 0.9479, Recall: 0.9504, Specificity: 0.9479, F1-Score: 0.9492 
02:51:42 : Epoch [18/50], Loss: 0.2930, Accuracy: 0.9505, Precision: 0.9481, Recall: 0.9530, Specificity: 0.9479, F1-Score: 0.9505 
02:52:07 : Epoch [19/50], Loss: 0.3033, Accuracy: 0.9505, Precision: 0.9481, Recall: 0.9530, Specificity: 0.9479, F1-Score: 0.9505 
02:52:31 : Epoch [20/50], Loss: 0.3179, Accuracy: 0.9505, Precision: 0.9481, Recall: 0.9530, Specificity: 0.9479, F1-Score: 0.9505 
02:52:55 : Epoch [21/50], Loss: 0.3240, Accuracy: 0.9505, Precision: 0.9481, Recall: 0.9530, Specificity: 0.9479, F1-Score: 0.9505 
02:53:19 : Epoch [22/50], Loss: 0.3318, Accuracy: 0.9505, Precision: 0.9481, Recall: 0.9530, Specificity: 0.9479, F1-Score: 0.9505 
02:53:44 : Epoch [23/50], Loss: 0.3396, Accuracy: 0.9505, Precision: 0.9481, Recall: 0.9530, Specificity: 0.9479, F1-Score: 0.9505 
02:54:08 : Epoch [24/50], Loss: 0.3452, Accuracy: 0.9505, Precision: 0.9481, Recall: 0.9530, Specificity: 0.9479, F1-Score: 0.9505 
02:54:32 : Epoch [25/50], Loss: 0.3541, Accuracy: 0.9505, Precision: 0.9481, Recall: 0.9530, Specificity: 0.9479, F1-Score: 0.9505 
02:54:56 : Epoch [26/50], Loss: 0.3588, Accuracy: 0.9505, Precision: 0.9481, Recall: 0.9530, Specificity: 0.9479, F1-Score: 0.9505 
02:55:20 : Epoch [27/50], Loss: 0.3642, Accuracy: 0.9505, Precision: 0.9481, Recall: 0.9530, Specificity: 0.9479, F1-Score: 0.9505 
02:55:45 : Epoch [28/50], Loss: 0.3678, Accuracy: 0.9505, Precision: 0.9481, Recall: 0.9530, Specificity: 0.9479, F1-Score: 0.9505 
02:56:09 : Epoch [29/50], Loss: 0.3728, Accuracy: 0.9505, Precision: 0.9481, Recall: 0.9530, Specificity: 0.9479, F1-Score: 0.9505 
02:56:33 : Epoch [30/50], Loss: 0.3770, Accuracy: 0.9505, Precision: 0.9481, Recall: 0.9530, Specificity: 0.9479, F1-Score: 0.9505 
02:56:57 : Epoch [31/50], Loss: 0.3817, Accuracy: 0.9505, Precision: 0.9481, Recall: 0.9530, Specificity: 0.9479, F1-Score: 0.9505 
02:57:21 : Epoch [32/50], Loss: 0.3866, Accuracy: 0.9505, Precision: 0.9481, Recall: 0.9530, Specificity: 0.9479, F1-Score: 0.9505 
02:57:46 : Epoch [33/50], Loss: 0.3901, Accuracy: 0.9505, Precision: 0.9481, Recall: 0.9530, Specificity: 0.9479, F1-Score: 0.9505 
02:58:10 : Epoch [34/50], Loss: 0.3934, Accuracy: 0.9518, Precision: 0.9505, Recall: 0.9530, Specificity: 0.9505, F1-Score: 0.9518 
02:58:34 : Epoch [35/50], Loss: 0.3983, Accuracy: 0.9518, Precision: 0.9505, Recall: 0.9530, Specificity: 0.9505, F1-Score: 0.9518 
02:58:58 : Epoch [36/50], Loss: 0.4015, Accuracy: 0.9518, Precision: 0.9505, Recall: 0.9530, Specificity: 0.9505, F1-Score: 0.9518 
02:59:23 : Epoch [37/50], Loss: 0.4042, Accuracy: 0.9518, Precision: 0.9505, Recall: 0.9530, Specificity: 0.9505, F1-Score: 0.9518 
02:59:47 : Epoch [38/50], Loss: 0.4097, Accuracy: 0.9531, Precision: 0.9530, Recall: 0.9530, Specificity: 0.9531, F1-Score: 0.9530 
03:00:11 : Epoch [39/50], Loss: 0.4129, Accuracy: 0.9531, Precision: 0.9530, Recall: 0.9530, Specificity: 0.9531, F1-Score: 0.9530 
03:00:35 : Epoch [40/50], Loss: 0.4153, Accuracy: 0.9531, Precision: 0.9530, Recall: 0.9530, Specificity: 0.9531, F1-Score: 0.9530 
03:00:59 : Epoch [41/50], Loss: 0.4190, Accuracy: 0.9531, Precision: 0.9530, Recall: 0.9530, Specificity: 0.9531, F1-Score: 0.9530 
03:01:24 : Epoch [42/50], Loss: 0.4224, Accuracy: 0.9531, Precision: 0.9530, Recall: 0.9530, Specificity: 0.9531, F1-Score: 0.9530 
03:01:48 : Epoch [43/50], Loss: 0.4262, Accuracy: 0.9531, Precision: 0.9530, Recall: 0.9530, Specificity: 0.9531, F1-Score: 0.9530 
03:02:12 : Epoch [44/50], Loss: 0.4287, Accuracy: 0.9531, Precision: 0.9530, Recall: 0.9530, Specificity: 0.9531, F1-Score: 0.9530 
03:02:36 : Epoch [45/50], Loss: 0.4346, Accuracy: 0.9531, Precision: 0.9530, Recall: 0.9530, Specificity: 0.9531, F1-Score: 0.9530 
03:03:00 : Epoch [46/50], Loss: 0.4382, Accuracy: 0.9544, Precision: 0.9531, Recall: 0.9556, Specificity: 0.9531, F1-Score: 0.9544 
03:03:23 : Epoch [47/50], Loss: 0.4452, Accuracy: 0.9531, Precision: 0.9530, Recall: 0.9530, Specificity: 0.9531, F1-Score: 0.9530 
03:03:47 : Epoch [48/50], Loss: 0.4493, Accuracy: 0.9544, Precision: 0.9531, Recall: 0.9556, Specificity: 0.9531, F1-Score: 0.9544 
03:04:11 : Epoch [49/50], Loss: 0.4561, Accuracy: 0.9531, Precision: 0.9530, Recall: 0.9530, Specificity: 0.9531, F1-Score: 0.9530 
03:04:35 : Epoch [50/50], Loss: 0.4617, Accuracy: 0.9531, Precision: 0.9530, Recall: 0.9530, Specificity: 0.9531, F1-Score: 0.9530 
